Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Taiwan,Consumer Confidence,2011-08-31T00:00:00,86.89,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2011-09-30T00:00:00,85.58,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2011-10-31T00:00:00,84.04,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2011-11-30T00:00:00,79.88,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2011-12-31T00:00:00,77.58,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2012-01-31T00:00:00,78.55,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2012-02-29T00:00:00,79.73,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2012-03-31T00:00:00,81.26,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2012-04-30T00:00:00,78.92,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2012-05-31T00:00:00,77.61,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2012-06-30T00:00:00,76.36,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2012-07-31T00:00:00,75.08,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2012-08-31T00:00:00,75.18,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2012-09-30T00:00:00,74.35,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2012-10-31T00:00:00,72.73,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2012-11-30T00:00:00,72.12,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2012-12-31T00:00:00,71.06,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2013-01-31T00:00:00,72.82,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2013-02-28T00:00:00,75.24,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2013-03-31T00:00:00,76.01,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2013-04-30T00:00:00,77.29,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2013-05-31T00:00:00,78.25,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2013-06-30T00:00:00,75.08,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2013-07-31T00:00:00,76.08,Monthly,TaiiwanCondence,2013-09-24T15:08:00
Taiwan,Consumer Confidence,2013-08-31T00:00:00,75.33,Monthly,TaiiwanCondence,2013-10-11T19:23:00
Taiwan,Consumer Confidence,2013-09-30T00:00:00,76.5,Monthly,TaiiwanCondence,2013-11-02T13:48:00
Taiwan,Consumer Confidence,2013-10-31T00:00:00,78.47,Monthly,TaiiwanCondence,2013-11-30T14:03:00
Taiwan,Consumer Confidence,2013-11-30T00:00:00,78.43,Monthly,TaiiwanCondence,2013-12-31T13:46:00
Taiwan,Consumer Confidence,2013-12-31T00:00:00,78.22,Monthly,TaiiwanCondence,2014-01-31T22:42:00
Taiwan,Consumer Confidence,2014-01-31T00:00:00,80.83,Monthly,TaiiwanCondence,2014-02-28T19:00:00
Taiwan,Consumer Confidence,2014-02-28T00:00:00,82.93,Monthly,TaiiwanCondence,2014-03-28T18:57:00
Taiwan,Consumer Confidence,2014-03-31T00:00:00,80.96,Monthly,TaiiwanCondence,2014-05-05T18:47:00
Taiwan,Consumer Confidence,2014-04-30T00:00:00,83.73,Monthly,TaiiwanCondence,2014-05-30T19:41:00
Taiwan,Consumer Confidence,2014-05-31T00:00:00,85.59,Monthly,TaiiwanCondence,2014-06-30T19:25:00
Taiwan,Consumer Confidence,2014-06-30T00:00:00,87.58,Monthly,TaiiwanCondence,2014-07-28T08:57:00
Taiwan,Consumer Confidence,2014-07-31T00:00:00,88.17,Monthly,TaiiwanCondence,2014-08-14T19:47:00
Taiwan,Consumer Confidence,2014-08-31T00:00:00,83.06,Monthly,TaiiwanCondence,2014-09-26T16:31:00
Taiwan,Consumer Confidence,2014-09-30T00:00:00,83.16,Monthly,TaiiwanCondence,2014-10-30T18:05:00
Taiwan,Consumer Confidence,2014-10-31T00:00:00,82.98,Monthly,TaiiwanCondence,2014-10-30T18:05:00
Taiwan,Consumer Confidence,2014-11-30T00:00:00,83.41,Monthly,TaiiwanCondence,2014-11-30T15:02:00
Taiwan,Consumer Confidence,2014-12-31T00:00:00,86.36,Monthly,TaiiwanCondence,2015-01-04T20:02:00
Taiwan,Consumer Confidence,2015-01-31T00:00:00,88.23,Monthly,TaiiwanCondence,2015-01-30T19:30:00
Taiwan,Consumer Confidence,2015-02-28T00:00:00,89.44,Monthly,TaiiwanCondence,2015-03-06T18:46:00
Taiwan,Consumer Confidence,2015-03-31T00:00:00,91.13,Monthly,TaiiwanCondence,2015-03-27T19:07:00
Taiwan,Consumer Confidence,2015-04-30T00:00:00,92.93,Monthly,TaiiwanCondence,2015-05-04T19:34:00
