Entity,Code,Date,grocery_and_pharmacy
Antigua and Barbuda,ATG,2020-06-23,-19.714
Antigua and Barbuda,ATG,2020-06-24,-19.571
Antigua and Barbuda,ATG,2020-06-25,-19.429
Antigua and Barbuda,ATG,2020-06-26,-19.857
Antigua and Barbuda,ATG,2020-06-27,-20.286
Antigua and Barbuda,ATG,2020-06-28,-20
Antigua and Barbuda,ATG,2020-06-29,-19
Antigua and Barbuda,ATG,2020-06-30,-17.571
Antigua and Barbuda,ATG,2020-07-01,-16.286
Antigua and Barbuda,ATG,2020-07-02,-15.143
Antigua and Barbuda,ATG,2020-07-03,-14.143
Antigua and Barbuda,ATG,2020-07-04,-14
Antigua and Barbuda,ATG,2020-07-05,-14.571
Antigua and Barbuda,ATG,2020-07-06,-14.571
